city_id,date,average_temp_celsius
5,18-04-2019,15.6
5,19-04-2019,16.2
5,20-04-2019,15.6
5,21-04-2019,15.2
5,22-04-2019,16.9
5,23-04-2019,16.5
5,24-04-2019,14
5,25-04-2019,13.5
5,26-04-2019,9.9
5,27-04-2019,10.8
5,28-04-2019,8.7
5,29-04-2019,9.3
5,30-04-2019,12.1
5,01-05-2019,13.3
5,02-05-2019,12.9
5,03-05-2019,12.1
5,04-05-2019,9.5
5,05-05-2019,6.9
5,06-05-2019,8.5
5,07-05-2019,11
5,08-05-2019,11.6
5,09-05-2019,12.8
5,10-05-2019,15
5,11-05-2019,14.1
5,12-05-2019,11.8
5,13-05-2019,13
5,14-05-2019,13.2
5,15-05-2019,12.4
5,16-05-2019,12.6
5,17-05-2019,12.6
5,18-05-2019,13.6
5,19-05-2019,14.2
5,20-05-2019,14.7
5,21-05-2019,15.6
5,22-05-2019,16.3
5,23-05-2019,16.8
5,24-05-2019,18.6
5,25-05-2019,18.3
5,26-05-2019,18.2
5,27-05-2019,17.8
5,28-05-2019,15.6
5,29-05-2019,14.6
5,30-05-2019,16.6
5,31-05-2019,19.7
6,16-03-2019,10.6
6,17-03-2019,7.9
6,18-03-2019,6.6
6,19-03-2019,6
6,20-03-2019,7.4
6,21-03-2019,9
6,22-03-2019,9.4
6,23-03-2019,8.9
6,24-03-2019,7.8
6,25-03-2019,7
6,26-03-2019,6.5
6,27-03-2019,7.7
6,28-03-2019,9.2
6,29-03-2019,10
6,30-03-2019,12
6,31-03-2019,11.9
6,01-04-2019,12.6
6,02-04-2019,9
6,03-04-2019,5.3
6,04-04-2019,5.5
6,05-04-2019,8.6
6,06-04-2019,8.9
6,07-04-2019,9.3
6,08-04-2019,9.9
6,09-04-2019,10.2
6,10-04-2019,9.4
6,11-04-2019,8.9
6,12-04-2019,7.4
6,13-04-2019,6.2
6,14-04-2019,6.2
6,15-04-2019,10.3
6,16-04-2019,11.1
6,17-04-2019,13.1
6,18-04-2019,16.1
6,19-04-2019,16.3
6,20-04-2019,17.2
6,21-04-2019,17
6,22-04-2019,16.4
6,23-04-2019,16
6,24-04-2019,12
6,25-04-2019,11.5
6,26-04-2019,10.8
6,27-04-2019,10.4
6,28-04-2019,9.4
6,29-04-2019,9.9
6,30-04-2019,11.7
6,01-05-2019,12.3
6,02-05-2019,11.8
6,03-05-2019,11.1
6,04-05-2019,7.7
6,05-05-2019,7.9
6,06-05-2019,8.4
6,07-05-2019,11.5
6,08-05-2019,12.5
6,09-05-2019,12.3
6,10-05-2019,11.4
6,11-05-2019,12.5
6,12-05-2019,10.9
6,13-05-2019,11.6
6,14-05-2019,13.2
6,15-05-2019,13.2
6,16-05-2019,13
6,17-05-2019,13.3
6,18-05-2019,12.8
6,19-05-2019,13.4
6,20-05-2019,14
6,21-05-2019,14.8
6,22-05-2019,15.1
6,23-05-2019,17.7
6,24-05-2019,16
6,25-05-2019,15.9
6,26-05-2019,15.1
6,27-05-2019,16.2
6,28-05-2019,13.3
6,29-05-2019,13.6
6,30-05-2019,16.5
6,31-05-2019,18.8
7,16-03-2019,13.2
7,17-03-2019,12.6
7,18-03-2019,9.6
7,19-03-2019,9.6
7,20-03-2019,9.5
7,21-03-2019,10.1
7,22-03-2019,12.6
7,23-03-2019,14.3
7,24-03-2019,14.8
7,25-03-2019,12.3
7,26-03-2019,11.7
7,27-03-2019,10.4
7,28-03-2019,11.2
7,29-03-2019,11.4
7,30-03-2019,11.3
7,31-03-2019,11.1
7,01-04-2019,12.4
7,02-04-2019,12
7,03-04-2019,10.8
7,04-04-2019,8.8
7,05-04-2019,9.9
7,06-04-2019,10.1
7,07-04-2019,9.8
7,08-04-2019,10.5
7,09-04-2019,11.5
7,10-04-2019,12.4
7,11-04-2019,11.9
7,12-04-2019,12.4
7,13-04-2019,12.3
7,14-04-2019,10.4
7,15-04-2019,11.3
7,16-04-2019,12.6
7,17-04-2019,12.2
7,18-04-2019,14.9
7,19-04-2019,17.3
7,20-04-2019,17.8
7,21-04-2019,17.4
7,22-04-2019,19.6
7,23-04-2019,15.5
7,24-04-2019,14
7,25-04-2019,14.6
7,26-04-2019,13.9
7,27-04-2019,13.8
7,28-04-2019,13
7,29-04-2019,12.5
7,30-04-2019,14.4
7,01-05-2019,13.7
7,02-05-2019,14.3
7,03-05-2019,14.2
7,04-05-2019,14.5
7,05-05-2019,9.4
7,06-05-2019,12
7,07-05-2019,12.6
7,08-05-2019,14.1
7,09-05-2019,14.8
7,10-05-2019,15.9
7,11-05-2019,17.1
7,12-05-2019,15.3
7,13-05-2019,16.9
7,14-05-2019,16.5
7,15-05-2019,13.3
7,16-05-2019,14.3
7,17-05-2019,14.4
7,18-05-2019,14.2
7,19-05-2019,13.7
7,20-05-2019,16
7,21-05-2019,17.9
7,22-05-2019,17.1
7,23-05-2019,16.8
7,24-05-2019,17.3
7,25-05-2019,17.1
7,26-05-2019,17.2
7,27-05-2019,19
7,28-05-2019,18.9
7,29-05-2019,17.6
7,30-05-2019,18.9
7,31-05-2019,18.7
8,16-03-2019,9.9
8,17-03-2019,7.1
8,18-03-2019,4.5
8,19-03-2019,3.9
8,20-03-2019,4.7
8,21-03-2019,7.3
8,22-03-2019,8.9
8,23-03-2019,9
8,24-03-2019,7.9
8,25-03-2019,5.6
8,26-03-2019,5.9
8,27-03-2019,7.4
8,28-03-2019,8.1
8,29-03-2019,10.5
8,30-03-2019,11.4
8,31-03-2019,11.2
8,01-04-2019,11.2
8,02-04-2019,11.1
